Time,Temperature,Humidity,Vbat
1703972212,22.53,52.91,3088
1703973406,22.21,54.88,3128
1703975042,22.14,56.48,3112
1703976848,22.26,58.06,3112
1703978649,22.34,58.6,3115
1703980450,22.45,58.94,3125
1703982251,22.54,58.14,3146
1703984052,22.49,59.27,3154
1703985853,22.21,58.95,3156
1703987655,21.62,60.63,3156
1703989456,21.16,62.54,3155
1703991257,20.87,63.85,3152
1703993058,20.79,64.63,3150
1703994859,20.57,64.95,3148
1703996660,20.47,66.38,3146
1703998461,20.31,67.27,3145
1704000263,20.26,68.74,3144
1704002064,20.25,69.82,3142
1704003865,20.16,69.85,3141
1704005666,20.09,69.3,3140
1704007467,20.05,69.62,3139
1704009268,20.07,69.94,3139
1704011069,20.03,69.5,3138
1704012870,19.91,69.15,3137
1704014671,19.8,66.91,3136
1704016473,18.71,54.1,3133
1704018274,20.77,59.53,3130
1704020075,21.19,61.12,3131
1704021876,20.52,60.81,3132
1704023677,20.12,61.22,3134
1704025473,19.89,61.25,3136
1704027280,19.66,61.3,3134
1704029081,19.52,61.46,3131
1704030882,19.34,61.52,3128
1704032683,19.16,61.6,3125
1704034484,19.05,61.59,3123
1704036285,18.96,61.43,3121
1704038081,18.84,61.26,3118
1704039887,18.74,61.1,3115
1704041689,18.63,60.94,3114
1704043490,18.56,60.72,3112
1704045291,18.51,60.56,3112
1704047087,18.44,60.55,3111
1704048893,18.36,60.44,3110
1704050694,18.28,60.29,3108
1704052495,18.22,60.23,3105
1704054292,18.15,60.11,3102
1704056098,18.1,60.03,3100
1704057899,18.07,59.96,3097
1704059700,18.04,59.85,3097
1704061501,18.01,59.8,3097
1704063302,17.97,59.83,3096
1704065098,17.91,59.75,3097
1704066904,17.85,59.64,3096
1704068706,17.8,59.56,3095
1704070502,17.75,59.48,3094
1704072308,17.71,59.39,3093
1704074109,17.65,59.28,3091
1704075910,17.61,59.2,3091
1704077711,17.58,59.12,3091
1704079507,17.56,59.05,3090
1704081313,17.54,58.98,3091
1704083115,17.52,58.93,3090
1704084916,17.48,58.92,3089
1704086717,17.43,58.91,3087
1704088518,17.38,58.84,3085
1704090319,17.34,58.76,3083
1704092120,17.3,58.66,3083
1704093916,17.28,58.55,3084
1704095722,17.23,58.37,3086
1704097524,17.2,58.23,3087
1704099320,17.16,58.11,3087
1704101126,17.14,58.07,3085
1704102927,17.11,58,3083
1704104728,17.1,57.96,3079
1704106529,17.08,57.93,3076
1704108330,17.07,57.92,3073
1704110131,17.06,57.87,3068
1704111933,17.06,57.82,3066
1704113734,17.06,57.77,3063
1704115530,17.06,57.72,3061
1704117331,17.05,57.68,3059
1704119137,17.04,57.65,3056
1704120938,17.02,57.62,3056
1704122739,17.01,57.6,3057
1704124540,16.99,57.58,3057
1704126341,16.98,57.56,3060
1704128143,16.97,57.52,3060
1704129944,16.95,57.5,3058
1704131583,16.64,52.38,3058
1704133379,19.58,53.23,3058
1704135185,21.5,52.69,3065
1704136986,21.69,53.51,3076
1704138787,21.61,54.44,3085
1704140588,21.56,55.22,3094
1704142389,21.74,54.98,3099
1704144190,22.29,52.24,3098
1704145992,22.41,52.09,3097
1704147793,22.47,52.06,3096
1704149594,21.99,52.49,3093
1704151395,21.8,55.26,3090
1704153191,21.75,57.24,3085
1704154997,20.85,51.11,3081
1704156798,20.23,52.6,3075
1704158594,19.97,56.17,3072
1704160395,19.63,58.87,3072
1704162202,19.45,60.5,3074
1704164003,19.2,61.27,3077
1704165804,19.1,62.46,3079
1704167600,19.08,63.21,3080
1704169406,19.06,64.65,3079
1704171207,19.04,65.39,3079
1704173008,19.04,65.52,3079
1704174809,18.98,66.36,3079
1704176610,18.94,66.48,3078
1704178412,18.83,66.39,3077
1704180213,18.77,66.54,3077
1704182014,18.76,67.19,3078
1704183815,18.72,67.52,3078
1704185616,18.63,67.45,3079
1704187417,18.6,68.08,3079
1704189218,18.65,68.79,3079
1704191019,18.63,68.97,3079
1704192815,18.67,69.35,3079
1704194622,18.82,69.5,3078
1704196418,18.99,68.99,3078
