Time,Temperature,Humidity,Vbat
1726609345,23.56,59.5,2829
1726611156,23.12,59.72,2835
1726612958,22.72,60.77,2848
1726614760,22.64,61.06,2862
1726616560,22.47,62.03,2867
1726618365,22.22,62.7,2865
1726620167,22.08,62.98,2864
1726621967,21.96,63.44,2863
1726623771,21.9,64.09,2862
1726625571,21.83,64.61,2860
1726627376,21.77,65.1,2859
1726629178,21.72,65.51,2858
1726630980,21.69,65.65,2858
1726632780,21.64,65.5,2858
1726634582,21.6,65.55,2857
1726636387,21.56,65.61,2857
1726638189,21.52,65.54,2857
1726639989,21.44,65.33,2857
1726641794,21.42,65.31,2857
1726643594,21.39,65.23,2855
1726645398,21.36,65.25,2855
1726647201,21.34,65.32,2855
1726649000,21.33,65.27,2856
1726650805,21.33,65.27,2855
1726652607,21.34,65.35,2853
1726654353,21.43,65.22,2852
1726656153,21.54,64.86,2852
1726657958,21.56,65.03,2852
1726659760,21.62,65.27,2854
1726661560,21.77,64.89,2855
1726663362,21.92,64.38,2856
1726665167,22.06,64.03,2857
1726666969,22.18,63.91,2857
1726668771,22.32,63.83,2857
1726670573,22.45,63.58,2858
1726672373,22.57,63.41,2859
1726674178,22.64,63.25,2860
1726675980,22.61,63.19,2860
1726677782,22.67,63.08,2860
1726679585,22.69,63.01,2860
1726681387,22.7,62.98,2860
1726683189,22.68,63.08,2861
1726684992,22.65,63.23,2861
1726686794,22.59,63.17,2861
1726688596,22.55,63.53,2860
1726690398,22.82,62.59,2860
1726692200,22.57,60.01,2861
1726694002,22.42,59.36,2860
1726695807,22.96,59.68,2860
1726697574,23.04,60.44,2848
1726699379,23.09,60.72,2844
1726701181,23.03,61.26,2846
1726702983,22.75,62.1,2859
1726704783,22.6,62.72,2862
1726706588,22.5,63.54,2860
1726708390,22.44,64.33,2859
1726710192,22.38,64.74,2858
1726711995,22.34,65.41,2859
1726713797,22.27,65.93,2859
1726715599,22.22,66.03,2858
1726717401,22.19,66.12,2858
1726719204,22.17,66.35,2857
1726721006,22.14,66.45,2856
1726722808,22.09,66.38,2855
1726724610,22.04,66.56,2855
1726726413,22.01,66.9,2855
1726728215,21.98,66.94,2854
1726730017,21.93,66.86,2854
1726731817,21.9,66.82,2853
1726733622,21.87,66.88,2854
1726735424,21.88,67.04,2854
1726737226,21.91,66.9,2854
1726739028,21.86,65.96,2853
1726740830,21.89,65.4,2853
1726742633,21.94,65.29,2853
1726744435,21.93,64.9,2853
1726746237,21.93,64.75,2854
1726748039,21.99,64.42,2855
1726749842,22.11,64.04,2855
1726751641,22.27,63.62,2854
1726753446,22.44,63.41,2855
1726755248,22.61,63.16,2856
1726757048,22.72,62.95,2858
1726758850,22.84,62.73,2859
1726760655,22.95,62.59,2860
1726762457,23.02,62.52,2861
1726764259,23.07,62.49,2862
1726766059,23.11,62.44,2861
1726767864,23.12,62.45,2860
1726769666,23.1,62.54,2860
1726771468,23.06,62.63,2860
1726773270,23.01,62.5,2861
1726775073,22.96,62.71,2861
1726776875,22.92,62.87,2860
1726778677,22.86,62.98,2859
1726780477,22.82,63.16,2860
1726782282,22.76,63.49,2860
1726784081,22.72,63.6,2860
1726785886,22.71,64.57,2858
1726787688,22.68,64.57,2859
1726789491,22.64,64.28,2860
1726791290,22.59,64.32,2859
1726793095,22.65,64.28,2859
1726794897,22.7,64.22,2859
1726796700,22.65,64.28,2860
1726798502,22.6,64.3,2861
1726800302,22.52,64.33,2860
1726802106,22.56,64.88,2859
1726803909,22.52,65.18,2858
1726805711,22.49,65.53,2858
1726807513,22.45,65.4,2859
1726809316,22.42,65.41,2858
1726811118,22.39,65.66,2858
1726812920,22.37,65.63,2858
1726814722,22.33,65.56,2858
1726816524,22.28,65.32,2858
1726818327,22.24,65.18,2858
1726820129,22.24,65.5,2858
1726821929,22.27,65.81,2857
1726823734,22.29,65.81,2857
1726825536,22.31,65.63,2856
1726827338,22.36,65.93,2856
1726829140,22.43,66.28,2856
1726830943,22.3,64.92,2856
1726832745,22.05,61.88,2856
1726834547,21.78,61.03,2855
1726836350,22.24,60.74,2855
1726838152,22.3,58.94,2855
1726839954,22.58,59.01,2857
1726841756,22.63,58.93,2857
1726843556,22.68,59.11,2858
1726845361,22.96,58.89,2859
1726847163,23.25,59.75,2860
1726848965,23.47,60.33,2862
1726850768,23.64,60.71,2863
1726852570,23.72,61.22,2865
1726854372,23.8,61.53,2866
1726856174,23.85,61.72,2867
1726857977,23.83,62.27,2866
1726859779,23.7,62.46,2866
1726861581,23.62,62.61,2866
1726863383,23.51,62.66,2866
1726865185,23.44,62.72,2864
1726866988,23.4,63.11,2864
1726868790,23.36,63.66,2863
1726870592,23.28,64.14,2864
1726872392,23.22,64.26,2863
1726874197,23.18,64.32,2862
